video_id,group,source_video_path,source_fps,source_resolution,duration_s,reference_segments,prediction_segments,reference_segment_count,pred_segment_count,raw_candidate_count,precision,recall,f1,temporal_iou,prediction_coverage_ratio,over_prediction_duration_s,missed_reference_duration_s,boundary_start_issue,boundary_end_issue,chunk_merge_issue,reference_ambiguity,primary_error,secondary_error,model_reason_summary,visual_evidence_summary,suspected_root_cause,recommended_experiment,confidence,notes
qvh_000023_9x16,single_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/67yNlWjxkNc_60.0_210.0.mp4,29.97002997002997,534x300,5.238571905238572,"[0.000, 4.104]","[0.000, 5.239]",1,1,1,0.7834386928346122,1,0.8785709270324379,0.7834386928346121,1,1.1344719999999997,0,0.00 s,+1.13 s,NO；1 raw → 1 final,NO,E12,无,模型以 0.92 分将整段寿司特写视为视觉吸引力高光。,全片均为同一盘寿司的连续特写；reference 覆盖 0.00–4.10 s，prediction 仅多出结尾约 1.13 s，画面语义没有明显突变。,PRIMARY=R（仅解释 1.13 s 的 weak-reference 端点差异；不视为模型主错误）,作为正对照保留；后续任何实验应避免使其 Recall 下降。,HIGH,表现良好对照样本。
qvh_000337_9x16,single_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/h4SpzDYV50Q_60.0_210.0.mp4,29.97002997002997,534x300,13.346680013346681,"[7.841, 13.013]","[0.000, 8.000]; [8.000, 13.347]",1,2,2,0.3874996128874996,1,0.5585581563962838,0.3874996128874996,0.9999999989999998,8.174846666666667,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,NO；2 raw → 2 final,NO,E5,E1; E11,0–8 s 的普通户外讲话被 0.85 分判为“主要视觉内容”，8 s 后推文信息卡被 0.95 分判为核心信息点。,reference 仅覆盖约 7.84–13.01 s 的推文截图；前半段为持续讲话与手势，prediction 因两个相邻候选覆盖全片。,PRIMARY=P；组合=P+M,Prompt v1 明确排除仅维持叙事背景的普通讲话，并要求候选边界围绕信息峰值。,HIGH,
qvh_000757_9x16,single_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/pV1SU8XyXr4_210.0_360.0.mp4,25,534x300,32.12,"[7.520, 22.480]","[0.000, 4.500]; [4.500, 7.000]; [7.000, 11.000]; [11.000, 23.500]; [23.500, 31.000]; [31.000, 32.120]",1,6,7,0.46575342465753433,1,0.6355140186915889,0.46575342465753433,1,17.159999999999997,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,1 次 overlap 候选合并；7 raw → 6 final；union 未变化,POSSIBLE,E5,E1; E11,模型分别以 0.82–0.92 分保留饮料、夜景、洗手间独白、机场与机舱切换，理由反复使用“视觉吸引力/场景变化/信息量”。,reference 为约 7.52–22.48 s 的洗手间人物独白；前段饮料/夜景与后段机场/机舱均被纳入，prediction union 覆盖全片。,PRIMARY=P；组合=P+M,Prompt v1 增加“场景切换本身不是高光”及普通旅行 B-roll 负例。,HIGH,25–31 s 的 overlap 候选被合并，但合并前 union 已相同。
qvh_000602_9x16,single_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/5uuG5Z0-rYU_360.0_510.0.mp4,29.97,534x300,32.132132132132135,"[27.661, 31.098]","[0.000, 4.800]; [4.800, 11.800]; [11.800, 15.500]; [15.500, 29.800]; [25.000, 29.500]; [29.500, 32.132]; [29.800, 30.000]",1,7,7,0.10695786454116679,1,0.19324649648792322,0.10695786454116679,0.9999958878504671,28.695229896563227,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,NO；7 raw → 7 final,POSSIBLE,E5,E2; E3; E11,模型把自拍、聚餐、泳池嬉戏、跳水准备、跳水与庆祝均列为高光；15.5–29.8 s 单候选已远宽于实际跳水瞬间。,reference 只标约 27.66–31.10 s 的跳水/落水；0–12 s 是自拍和聚餐，12–27 s 多为泳池活动与长准备，prediction union 覆盖全片。,PRIMARY=P；组合=P+M,Prompt v1 收紧“高潮事件”定义，明确准备/普通社交不应自动纳入，并以 Recall 约束验证。,HIGH,Precision 最低组代表之一。
qvh_000949_9x16,single_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/d5mpNbgVU5s_510.0_660.0.mp4,30,598x300,32.13333333333333,"[12.800, 16.567]","[0.000, 4.000]; [4.000, 10.000]; [10.000, 15.000]; [15.000, 20.000]; [20.000, 30.000]; [30.000, 32.133]",1,6,7,0.11722113299930494,1,0.20984410254505606,0.11722113299930494,0.9999896265560166,28.366333333333337,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,1 次 overlap 候选合并；7 raw → 6 final；union 未变化,POSSIBLE,E5,E2; E3; E11,0.75–0.95 分候选覆盖停车场、步行、摆放食物、进食互动和自拍；理由多次直接写“铺垫/准备”。,reference 约 12.80–16.57 s，集中于食物到桌与开始准备；前 10 s 是步行铺垫，20 s 后是持续进食/聊天，prediction 覆盖全片。,PRIMARY=P；组合=P+M,Prompt v1 明令铺垫与常规持续行为不单独成候选；先不做 score threshold。,HIGH,0.95 高分候选也完全落在 weak-reference 外。
qvh_000531_9x16,double_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/f0S6MWNcJjY_60.0_210.0.mp4,29.97002997002997,534x300,9.40940940940941,"[3.971, 5.772]; [6.406, 7.608]","[4.500, 9.400]",2,1,1,0.5048231292517006,0.8237207237207237,0.6259985659454215,0.45560255646760506,0.5207553191489362,2.4263666666666674,0.5293666666666668,首个 reference 起点晚 +0.53 s；整体多段无法可靠一对一配对,相对第二 reference 终点拖后 +1.79 s,NO；1 raw → 1 final,NO,E8,E3; E7,模型以 0.92 分定位 4.5–9.4 s 的喷雾整理头发连续动作。,reference 为 3.97–5.77 s 与 6.41–7.61 s；prediction 找到正确动作，但错过第一段开头约 0.53 s，并延续到动作后段。,PRIMARY=M,Boundary Refinement：围绕动作首次出现与动作完成点做边界收缩，同时监控 Recall。,HIGH,Recall=0.824，属于边界型漏召回。
qvh_000612_9x16,double_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/nuZ_0pN8F-U_210.0_360.0.mp4,23.976023976023978,712x300,13.513513513513514,"[0.000, 2.878]; [3.045, 7.549]","[0.000, 10.000]; [10.000, 11.500]; [11.500, 13.514]",2,3,3,0.5462957303333537,1,0.7065863529424377,0.5462957303333537,1,6.131139000000001,0,NOT_RELIABLY_MATCHED,reference 最后端后继续约 5.96 s,NO；3 raw → 3 final,POSSIBLE,E11,E3; E10,表演主体 0–10 s 得 0.92；10–11.5 s 仅因路人遮挡造成动态变化也得 0.85；尾段低头被解释为情感高潮。,全片是同一舞台表演，reference 到约 7.55 s；后半仍是同一表演，但包含遮挡与较弱动作，weak-reference 的截止点也有一定主观性。,PRIMARY=P；组合=P+M+R,Prompt v1 排除遮挡/路过等无叙事价值变化；并对持续表演样本做人审标注复核。,MEDIUM,double_segment，但两个 reference 间隔仅 0.17 s。
qvh_000067_9x16,double_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/vqsojDj6j_s_360.0_510.0.mp4,23.976023976023978,534x300,32.11544878211545,"[0.167, 3.670]; [27.319, 29.696]","[0.000, 5.000]; [5.000, 13.000]; [13.000, 20.000]; [20.000, 27.000]; [25.000, 27.000]; [27.000, 30.000]; [29.000, 32.115]",2,7,8,0.1831192589132804,1,0.3095533396717407,0.1831192589132804,0.999986025974026,26.234125000000002,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,1 次 overlap 候选合并；8 raw → 7 final；union 未变化,YES,E10,E5,模型以 0.80–0.95 分连续描述准备、下坠、反弹、空中姿态、接近平台和着陆，语义链完整。,全片是一次连续蹦极/高空下坠事件；reference 只标起跳与末端着陆，遗漏中段自由落体和反弹等最具高光价值的核心过程。,PRIMARY=R,优先做 weak-reference 多人复核或事件级完整标注；该样本不宜直接驱动阈值收紧。,HIGH,double_segment 最典型 REFERENCE_AMBIGUITY。
qvh_000781_9x16,double_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/cF9EiA0DRrE_510.0_660.0.mp4,29.97002997002997,534x300,19.252585919252585,"[0.000, 1.468]; [17.918, 19.019]","[0.000, 3.500]; [4.000, 17.000]; [17.500, 19.253]",2,3,3,0.1407599631818382,1,0.24678278993808084,0.1407599631818382,0.9480589296707107,15.683352666666664,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,NO；3 raw → 3 final,POSSIBLE,E5,E11; E10,中段 4–17 s 的空坡道以 0.88 分因“视觉表现突出、场景变化、信息量”入选。,reference 仅覆盖开头与结尾人物奔跑；中间约 13 s 是镜头沿涂鸦坡道移动、主体人物基本不在画面，prediction coverage=94.8%。,PRIMARY=P；组合=P+M+R,Prompt v1 要求候选与可说明的核心事件或叙事峰值绑定，排除单纯镜头运动。,HIGH,double_segment 中间普通片段未被抑制。
qvh_000629_9x16,double_segment,/root/autodl-tmp/datasets/qvhighlights/baseline_20/tYKDJDlWRgY_660.0_810.0.mp4,30,534x300,22.2,"[0.833, 1.733]; [14.500, 15.500]","[0.000, 4.500]; [4.500, 13.500]; [13.500, 22.200]",2,3,3,0.08558558558558559,1,0.15767634854771784,0.08558558558558559,1,20.3,0,NOT_RELIABLY_MATCHED,NOT_RELIABLY_MATCHED,NO；3 raw → 3 final,NO,E1,E5; E11,4.5–13.5 s 普通房间扫镜被 0.85 分判为“丰富视觉信息”，13.5–22.2 s 普通介绍被 0.88 分保留。,reference 是开头短暂人物出现与约 14.5–15.5 s 再次出现；大部分房间、天花板、床与装饰扫镜没有明显事件峰值。,PRIMARY=P；组合=P+M,Prompt v1 加入普通 room tour/扫镜负例，并要求输出局部峰值而非整段介绍。,HIGH,Precision=0.086，为全体最低。
